current mass in position 19,x_c,x_f
3.603,48.605,46
3.604,48.605,46
3.605,48.605,46
3.606,48.605,46
3.607,48.605,46
3.608,48.605,46
3.609,48.605,46
3.61,48.605,46
3.611,48.605,46
3.612,48.605,46
3.613,48.605,46
3.614,48.605,46
3.615,48.605,46
3.616,48.605,46
3.617,48.604,46
3.618,48.604,46
3.619,48.604,46
3.62,48.604,46
3.621,48.604,46
3.622,48.604,46
3.623,48.604,46
3.624,48.604,46
3.625,48.604,46
3.626,48.604,46
3.627,48.604,46
3.628,48.604,46
3.629,48.604,46
3.63,48.604,46
3.631,48.604,46
3.632,48.604,46
3.633,48.604,46
3.634,48.603,46
3.635,48.603,46
3.636,48.603,46
3.637,48.603,46
3.638,48.603,46
3.639,48.603,46
3.64,48.603,46
3.641,48.603,46
3.642,48.603,46
3.643,48.603,46
3.644,48.603,46
3.645,48.603,46
3.646,48.603,46
3.647,48.603,46
3.648,48.603,46
3.649,48.603,46
3.65,48.603,46
3.651,48.603,46
3.652,48.602,46
3.653,48.602,46
3.654,48.602,46
3.655,48.602,46
3.656,48.602,46
3.657,48.602,46
3.658,48.602,46
3.659,48.602,46
3.66,48.602,46
3.661,48.602,46
3.662,48.602,46
3.663,48.602,46
3.664,48.602,46
3.665,48.602,46
3.666,48.602,46
3.667,48.602,46
3.668,48.602,46
3.669,48.602,46
3.67,48.601,46
3.671,48.601,46
3.672,48.601,46
3.673,48.601,46
3.674,48.601,46
3.675,48.601,46
3.676,48.601,46
3.677,48.601,46
3.678,48.601,46
3.679,48.601,46
3.68,48.601,46
3.681,48.601,46
3.682,48.601,46
3.683,48.601,46
3.684,48.601,46
3.685,48.601,46
3.686,48.601,46
3.687,48.601,46
3.688,48.6,46
3.689,48.6,46
3.69,48.6,46
3.691,48.6,46
3.692,48.6,46
3.693,48.6,46
3.694,48.6,46
3.695,48.6,46
3.696,48.6,46
3.697,48.6,46
3.698,48.6,46
3.699,48.6,46
3.7,48.6,46
3.701,48.6,46
3.702,48.6,46
3.703,48.6,46
3.704,48.6,46
3.705,48.599,46
3.706,48.599,46
3.707,48.599,46
3.708,48.599,46
3.709,48.599,46
3.71,48.599,46
3.711,48.599,46
3.712,48.599,46
3.713,48.599,46
3.714,48.599,46
3.715,48.599,46
3.716,48.599,46
3.717,48.599,46
3.718,48.599,46
3.719,48.599,46
3.72,48.599,46
3.721,48.599,46
3.722,48.599,46
3.723,48.598,46
3.724,48.598,46
3.725,48.598,46
3.726,48.598,46
3.727,48.598,46
3.728,48.598,46
3.729,48.598,46
3.73,48.598,46
3.731,48.598,46
3.732,48.598,46
3.733,48.598,46
3.734,48.598,46
3.735,48.598,46
3.736,48.598,46
3.737,48.598,46
3.738,48.598,46
3.739,48.598,46
3.74,48.598,46
3.741,48.597,46
3.742,48.597,46
3.743,48.597,46
3.744,48.597,46
3.745,48.597,46
3.746,48.597,46
3.747,48.597,46
3.748,48.597,46
3.749,48.597,46
3.75,48.597,46
3.751,48.597,46
3.752,48.597,46
3.753,48.597,46
3.754,48.597,46
3.755,48.597,46
3.756,48.597,46
3.757,48.597,46
3.758,48.596,46
3.759,48.596,46
3.76,48.596,46
3.761,48.596,46
3.762,48.596,46
3.763,48.596,46
3.764,48.596,46
3.765,48.596,46
3.766,48.596,46
3.767,48.596,46
3.768,48.596,46
3.769,48.596,46
3.77,48.596,46
3.771,48.596,46
3.772,48.596,46
3.773,48.596,46
3.774,48.596,46
3.775,48.596,46
3.776,48.595,46
3.777,48.595,46
3.778,48.595,46
3.779,48.595,46
3.78,48.595,46
3.781,48.595,46
3.782,48.595,46
3.783,48.595,46
3.784,48.595,46
3.785,48.595,46
3.786,48.595,46
3.787,48.595,46
3.788,48.595,46
3.789,48.595,46
3.79,48.595,46
